Id,Age,Gender,Expenditures,Ethnicity
855,14,Female,5280,Hispanic
856,33,Male,39010,White not Hispanic
857,41,Female,49223,White not Hispanic
858,19,Female,12243,Asian
859,25,Male,40999,Asian
860,20,Female,3749,Hispanic
861,9,Female,1416,Hispanic
862,32,Female,33630,White not Hispanic
863,26,Male,33634,Asian
864,19,Male,9760,Hispanic
865,42,Female,51084,Black
866,11,Male,1984,White not Hispanic
867,30,Male,40927,White not Hispanic
868,39,Female,31076,White not Hispanic
869,16,Female,4915,White not Hispanic
870,17,Female,3747,Hispanic
871,21,Female,9700,White not Hispanic
872,14,Female,1893,Multi Race
873,17,Female,4221,Hispanic
874,91,Male,54481,Asian
875,10,Female,3060,Hispanic
876,24,Female,34274,Asian
877,19,Female,12523,Hispanic
878,71,Female,56365,White not Hispanic
879,4,Female,1645,Asian
880,11,Male,2839,Hispanic
881,8,Female,3572,White not Hispanic
882,31,Male,39172,White not Hispanic
883,8,Female,1714,Hispanic
884,72,Male,43957,White not Hispanic
885,62,Female,58480,White not Hispanic
886,26,Female,43109,Black
887,7,Female,1875,Hispanic
888,63,Male,50030,White not Hispanic
889,21,Male,8707,Hispanic
890,8,Female,2717,Hispanic
891,5,Female,1684,Hispanic
892,20,Male,7743,White not Hispanic
893,19,Female,7475,Asian
894,9,Male,2753,White not Hispanic
895,19,Female,8820,Asian
896,19,Female,5988,Hispanic
897,21,Male,11327,Black
898,16,Female,3702,Hispanic
899,13,Female,3887,Hispanic
900,19,Male,9979,Asian
901,18,Female,13730,Hispanic
902,19,Male,7570,White not Hispanic
903,27,Female,35720,White not Hispanic
904,19,Female,7061,Black
905,13,Female,5546,White not Hispanic
906,16,Male,3666,White not Hispanic
907,10,Female,669,Multi Race
908,29,Female,40755,White not Hispanic
909,32,Female,35435,Hispanic
910,21,Male,6904,Hispanic
911,29,Male,41268,White not Hispanic
912,12,Male,1996,White not Hispanic
913,14,Male,3703,Hispanic
914,7,Female,2669,White not Hispanic
915,14,Male,3319,Hispanic
916,17,Female,3478,Hispanic
917,20,Male,8359,White not Hispanic
918,17,Male,4791,Hispanic
919,6,Male,1898,Hispanic
920,9,Female,2632,White not Hispanic
921,32,Female,43662,White not Hispanic
922,11,Female,620,White not Hispanic
923,73,Female,49088,White not Hispanic
924,33,Male,40517,Hispanic
925,4,Female,2543,White not Hispanic
926,6,Male,1997,Hispanic
927,8,Female,1189,Hispanic
928,25,Male,39849,White not Hispanic
929,23,Male,48349,White not Hispanic
930,16,Male,4031,Asian
931,8,Male,2623,Asian
932,22,Female,50795,White not Hispanic
933,10,Female,2484,Hispanic
934,31,Male,39577,White not Hispanic
935,6,,3259,Multi Race
936,18,Male,9080,Asian
937,27,Female,44293,Asian
938,4,Female,1219,Asian
939,18,Female,10298,White not Hispanic
940,8,Male,2430,Hispanic
941,14,Female,3792,Hispanic
942,11,Female,1360,White not Hispanic
943,15,Male,3099,Asian
944,30,Male,51486,White not Hispanic
945,11,Male,2212,Hispanic
946,17,Female,5183,Black
947,0,Male,1360,Hispanic
948,25,Female,40952,White not Hispanic
949,4,Female,2335,Multi Race
950,40,Female,43175,White not Hispanic
951,14,Male,4680,Hispanic
952,20,Female,14003,Hispanic
953,3,Female,1485,Hispanic
954,29,Male,43048,White not Hispanic
955,38,Male,29709,White not Hispanic
956,79,Female,57497,Asian
957,60,Female,62717,Hispanic
958,38,Female,37378,Hispanic
959,18,Male,12651,Asian
960,16,Female,2104,Hispanic
961,5,Female,222,Hispanic
962,23,Male,42560,Asian
963,29,Male,40614,Asian
964,5,Female,1003,Hispanic
965,26,Male,36440,Hispanic
966,9,Male,2544,White not Hispanic
967,17,Female,5241,Hispanic
968,14,Male,3524,White not Hispanic
969,30,Female,40125,White not Hispanic
970,10,Male,3382,Asian
971,51,Female,48622,White not Hispanic
972,17,Female,5276,White not Hispanic
973,41,Male,50202,White not Hispanic
974,44,Male,46144,Hispanic
975,5,Female,240,Black
976,23,Male,35016,White not Hispanic
977,75,Female,55956,White not Hispanic
978,1,Female,2359,Multi Race
979,9,Female,1048,Multi Race
980,69,Female,53561,White not Hispanic
981,46,Male,52222,Hispanic
982,28,Male,29588,Hispanic
983,18,Female,10393,White not Hispanic
984,38,Male,54191,White not Hispanic
985,54,Female,46312,White not Hispanic
986,24,Male,49449,Asian
987,13,Female,3097,White not Hispanic
988,13,Female,3392,White not Hispanic
989,15,Female,3641,Hispanic
990,8,Male,2441,Hispanic
991,5,Male,1411,Hispanic
992,30,Female,35231,White not Hispanic
993,18,Male,5298,Hispanic
994,20,Male,7288,Asian
995,2,Male,2258,Multi Race
996,86,Female,57055,White not Hispanic
997,20,Male,7494,Hispanic
998,17,Female,3673,Multi Race
999,10,Male,3638,Hispanic
1000,23,Male,26702,White not Hispanic
